Id,title,original_language,vote_count,vote_average
2418,The Glass House,en,476,5.8
2419,Flashdance,en,773,6.4
2420,Legend,en,613,6.2
2421,Wild Strawberries,sv,757,8.2
2422,House of Wax,en,1643,5.7
2423,The Break-Up,en,1711,5.7
2424,Victoria & Abdul,en,747,6.9
2425,The Condemned,en,413,6
2426,Blinded by the Light,en,239,7.1
2427,The Queen's Corgi,en,166,5.7
2428,Identity,en,2185,7.2
2429,You Were Never Really Here,en,1373,6.6
2430,True Legend,zh,95,6.4
2431,Revolver,en,737,6.4
2432,Every Day,en,1344,7
2433,The Gunman,en,649,5.7
2434,Colette,en,487,7
2435,Speed,en,3569,7
2436,Corpus Christi,pl,92,7.9
2437,Dragon Ball Z: Bojack Unbound,ja,267,6.8
2438,Gerald's Game,en,2102,6.4
2439,A League of Their Own,en,760,7.1
2440,Candyman,en,664,6.4
2441,Always Be My Maybe,en,701,6.6
2442,Backdraft,en,749,6.6
2443,The Omen,en,1003,7.3
2444,Smallfoot,en,845,6.7
2445,Hotel Rwanda,en,1659,7.7
2446,Marley & Me,en,3105,7.2
2447,Gold,en,994,6.6
2448,Teenage Mutant Ninja Turtles,en,954,6.6
2449,Magic in the Moonlight,en,1467,6.5
2450,She's the Man,en,1766,6.6
2451,Chronicle,en,3415,6.7
2452,The Mexican,en,867,5.8
2453,Metro6,en,0,0
2454,The Frozen Ground,en,872,6.3
2455,The Wedding Date,en,651,6.6
2456,House at the End of the Street,en,1178,5.8
2457,Collateral Damage,en,777,5.6
2458,Kiss Kiss Bang Bang,en,1611,7.2
2459,The Limey,en,197,6.7
2460,Erased,en,402,5.8
2461,Paranormal Activity,en,3203,5.9
2462,Footloose,en,1166,6.6
2463,No Strings Attached,en,3066,6.2
2464,Scooby-Doo,en,2364,5.7
2465,Dante's Peak,en,956,6
2466,The Talented Mr. Ripley,en,1773,7.2
2467,Pineapple Express,en,2302,6.6
2468,Dragon Ball Z: Resurrection 'F',ja,804,6.8
2469,In the Name of the King: A Dungeon Siege Tale,en,454,4.5
2470,Adi?s,es,28,6.7
2471,Criminal,en,1021,6
2472,Wonder Wheel,en,865,6.4
2473,The Santa Clause 3: The Escape Clause,en,601,5.3
2474,Creature from the Black Lagoon,en,358,6.8
2475,We Own the Night,en,739,6.7
2476,The Eagle Huntress,en,57,7.4
2477,Bitter Moon,en,302,7.1
2478,Marie Antoinette,en,1592,6.6
2479,Flight,en,3968,6.7
2480,Shaft,en,841,6.5
2481,The Bad Batch,en,588,5.3
2482,The Last Boy Scout,en,972,6.7
2483,Two Is a Family,fr,2222,7.8
2484,Tron,en,1257,6.6
2485,Letters from Iwo Jima,en,1135,7.5
2486,Anatomy of a Murder,en,434,7.9
2487,Lost Highway,en,1348,7.6
2488,Wallace & Gromit: The Curse of the Were-Rabbit,en,1518,6.9
2489,Miami Vice,en,984,5.9
2490,Colossal,en,1183,6.1
2491,The Wailing,ko,720,7.3
2492,Jungle,en,982,6.3
2493,The Ottoman Lieutenant,en,154,6.1
2494,The Losers,en,973,6.2
2495,Secret Window,en,2232,6.5
2496,Dirty Dancing,en,286,5.4
2497,It Comes at Night,en,1380,5.8
2498,Free Solo,en,602,8
2499,An Impossible Love,fr,100,6.4
2500,Neighbors 2: Sorority Rising,en,3181,5.8
2501,Two Night Stand,en,1391,6.5
2502,Live by Night,en,849,6.2
2503,Killer Joe,en,814,6.5
2504,Spy Kids 2: The Island of Lost Dreams,en,1330,5.5
2505,The Apartment,fr,94,6.9
2506,Belle,en,461,7.2
2507,A Nightmare on Elm Street: The Dream Child,en,634,5.4
2508,Rush,en,4465,7.7
2509,To Kill a Mockingbird,en,1504,8
2510,Girls Just Want to Have Fun,en,85,6.2
2511,Reign of Fire,en,1282,6
2512,Mortal Kombat,en,1102,5.6
2513,The Producers,en,282,6.3
2514,Layer Cake,en,1078,7
2515,Shall We Dance?,en,709,6.2
2516,Serena,en,675,5.6
2517,The Master,en,1666,7.2
2518,Oliver!,en,212,7.1
2519,Ri?hie Ri?h,en,1239,5.6
2520,The Cook, the Thief, His Wife & Her Lover,en,289,7.5
2521,The Gallows,en,666,4.8
2522,The Smurfs 2,en,1386,5.7
2523,War Horse,en,2148,7.2
2524,Jaws 3-D,en,671,4.3
2525,Chinese Zodiac,cn,420,6
2526,Regarding Henry,en,350,6.6
2527,The Royal Tenenbaums,en,2673,7.5
2528,Prison Break: The Final Break,en,349,7.6
2529,The Promise,zh,50,5.7
2530,Slender Man,en,942,4
2531,Cold Mountain,en,1065,6.9
2532,Melancholia,da,1950,7.2
2533,Ninja Scroll,ja,238,7.6
2534,Bolt,en,3911,6.4
2535,Crank: High Voltage,en,1658,6
2536,#RealityHigh,en,814,6.4
2537,Mickey, Donald, Goofy: The Three Musketeers,en,485,6.4
2538,The Wrestler,en,2153,7.5
2539,100 Girls,en,256,5.8
2540,No Gog? do Paulinho,pt,0,0
2541,Money Train,en,425,5.7
2542,Mr. Deeds,en,1363,5.7
2543,Sex and Luc?a,es,268,6.6
2544,Big Momma's House 2,en,947,5.6
2545,Broken Arrow,en,821,5.9
2546,Anon,en,865,5.8
2547,The Pelican Brief,en,788,6.5
2548,Flubber,en,1463,5.6
2549,The Day After Tomorrow,en,4989,6.4
2550,BloodRayne,en,265,3.9
2551,Apocalypto,en,2794,7.4
2552,Death Becomes Her,en,1411,6.7
2553,Magnolia,en,1970,7.7
2554,Olaf's Frozen Adventure,en,969,6.2
2555,Palm Trees in the Snow,es,288,7.4
2556,Inland Empire,en,583,7.2
2557,Kingpin,en,467,6.6
2558,Ray,en,1040,7.4
2559,The Tale of Despereaux,en,541,5.8
2560,Resident Evil,en,3935,6.5
2561,The Final Destination,en,1895,5.6
2562,Piranha 3D,en,1216,5.2
2563,Taylor Swift: Reputation Stadium Tour,en,161,8.2
2564,Larry Crowne,en,805,5.8
2565,Hall Pass,en,1155,5.5
2566,Legally Blonde,en,2116,6.4
2567,The Evil Dead,en,2013,7.3
2568,Breathless,fr,849,7.8
2569,The Gendarme of St. Tropez,fr,464,7.1
2570,The Girl Who Kicked the Hornet's Nest,sv,816,7
2571,Scary Movie 3,en,2440,5.9
2572,Home Again,en,804,6.1
2573,Saving Zo?,en,66,5.8
2574,Harry Brown,en,570,6.8
2575,Break,ru,27,4.4
2576,Legend,en,2010,6.8
2577,Dressed to Kill,en,379,6.9
2578,Tropic Thunder,en,3638,6.5
2579,Small Soldiers,en,1191,6.3
2580,Lady in the Water,en,812,5.5
2581,The Sting,en,1327,8.1
2582,X-Men: Production Scrapbook,en,20,6.3
2583,Superman III,en,977,5.4
2584,Enough,en,612,6.5
2585,Scream 3,en,1709,5.9
2586,Step Up,en,2555,6.8
2587,Congo,en,443,5.2
2588,The Man with the Iron Fists,en,680,5.4
2589,Memoirs of a Geisha,en,1545,7.6
2590,Easter In Art - Exhibition on Screen,en,3,6
2591,Shooting Heroin,en,0,0
2592,Re-Animator,en,591,7.1
2593,Shutter,en,375,5.4
2594,Sing Street,en,1394,8
2595,On the Waterfront,en,806,8.1
2596,Jaws: The Revenge,en,520,3.8
2597,Zoolander,en,2714,6.1
2598,The Fourth Kind,en,895,5.9
2599,The Holiday,en,3000,7
2600,Cop Land,en,794,6.7
2601,Carrie,en,2108,7.2
2602,Hot Shots!,en,1148,6.5
2603,City Slickers,en,426,6.4
2604,Monster Trucks,en,500,6
2605,Police Story,cn,322,7.4
2606,The Wandering Earth,zh,291,6.2
2607,The Protector,th,338,6.9
2608,Midnight Special,en,1255,6.3
2609,Sleeping with Other People,en,569,6.3
2610,Downsizing,en,2315,5.1
2611,Camp Rock,en,1416,6.4
2612,Con Air,en,2448,6.7
2613,The Sweetest Thing,en,628,5.5
2614,Eggnoid,id,1,6
2615,The Man from Nowhere,ko,633,7.6
2616,The Mustang,en,143,7
2617,Big Trouble in Little China,en,1588,7.2
2618,West Side Story,en,1002,7.3
2619,Silence,en,1916,7.1
2620,3 Ninjas Knuckle Up,en,101,5
2621,The Assassination of Jesse James by the Coward Robert Ford,en,1504,7.1
2622,I.D.,en,45,6.7
2623,Friday After Next,en,202,6.2
2624,21,en,2832,6.6
2625,Malcolm X,en,821,7.5
2626,Asterix & Obelix Take on Caesar,fr,1112,6
2627,Peter Rabbit,en,844,6.6
2628,Stripes,en,488,6.6
2629,Desperado,en,1660,6.8
2630,Ballet Shoes,en,190,6.4
2631,P2,en,389,5.9
2632,The Outlaw Josey Wales,en,571,7.5
2633,Anastasia,en,3638,7.6
2634,Mystery Men,en,463,5.8
2635,American Animals,en,459,6.9
2636,Kamen Rider Heisei Generations FOREVER,ja,16,5.3
2637,The Wicker Man,en,625,7.3
2638,Miss Congeniality 2: Armed and Fabulous,en,1124,5.7
2639,Turner & Hooch,en,687,6.2
2640,A Million Ways to Die in the West,en,2479,5.8
2641,Swordfish,en,1681,6.2
2642,Deep Blue Sea,en,1350,5.8
2643,The Perfect Storm,en,1269,6.3
2644,More Beautiful for Having Been Broken,en,0,0
2645,Camille Sans Contact,fr,0,0
2646,Blue Ruin,en,859,6.8
2647,The Witches,en,521,6.6
2648,Fiddler on the Roof,en,259,7.7
2649,The Girl Next Door,en,413,6.6
2650,Unleashed,en,1082,6.7
2651,Asterix: The Secret of the Magic Potion,fr,672,6.9
2652,Ruby Red,de,810,6.9
2653,Barnyard,en,565,5.6
2654,What a Girl Wants,en,1014,6
2655,Knocked Up,en,2482,6.2
2656,Fire with Fire,en,385,5.6
2657,Friday the 13th: The Final Chapter,en,607,5.9
2658,Incendies,fr,1230,8.1
2659,Damien: Omen II,en,326,6.2
2660,Fahrenheit 451,en,468,5.4
2661,Free Fire,en,635,6.3
2662,The Craft,en,841,6.4
2663,Battle: Los Angeles,en,2285,5.6
2664,Broken City,en,916,5.9
2665,You, Me and Dupree,en,848,5.5
2666,The Seeker: The Dark Is Rising,en,225,5.2
2667,Early Man,en,413,6
2668,Under the Tuscan Sun,en,430,6.6
2669,Babumoshai Bandookbaaz,hi,17,6.4
2670,Raw,fr,1683,7.1
2671,Trading Places,en,1811,7.1
2672,Wild,en,1609,7
2673,Anthropoid,en,593,7
2674,Beerfest,en,296,5.8
2675,The Exorcism of Emily Rose,en,1622,6.4
2676,Hudson Hawk,en,527,5.7
2677,Abigail,en,50,5.7
2678,Red Dawn,en,951,5.5
2679,Central Intelligence,en,3637,6.3
2680,Jack Frost,en,668,5.9
2681,Balto,en,1264,7.2
2682,The Legend of Muay Thai: 9 Satra,th,7,6.1
2683,Ironclad,en,425,6.1
2684,High School Musical 2,en,2609,6.5
2685,Sky Captain and the World of Tomorrow,en,764,5.8
2686,The Awakening,en,900,6.4
2687,Race,en,1025,7.2
2688,The Debt,en,468,6.6
2689,Eastern Promises,en,1839,7.3
2690,Stigmata,en,564,6.1
2691,Dark Water,en,561,5.4
2692,Guru-Guru Gokil,id,0,0
2693,Christopher Robin,en,1715,7.4
2694,The Last Temptation of Christ,en,513,7.3
2695,Movie 43,en,1513,4.4
2696,Moneyball,en,2668,7.2
2697,Storks,en,1507,6.6
2698,The Grudge 2,en,605,5.4
2699,Spy Kids 3-D: Game Over,en,1325,5
2700,The Phantom,en,268,4.9
2701,Mars Needs Moms,en,355,5.7
2702,Orphan,en,2952,6.8
2703,A Perfect Murder,en,691,6.4
2704,Last Knights,en,608,6.3
2705,The NeverEnding Story II: The Next Chapter,en,441,5.5
2706,Angel Heart,en,770,7.2
2707,Arwah Tumbal Nyai: Part Tumbal,id,0,0
2708,What Lies Beneath,en,1067,6.4
2709,Cult of Chucky,en,527,5.3
2710,Eagle Eye,en,1806,6.4
2711,Death Sentence,en,579,6.5
2712,Sky High,en,1366,6
2713,Mindscape,en,374,6.6
2714,Shaft,en,683,5.9
2715,Bird on a Wire,en,430,6.2
2716,Pantyhose,en,0,0
2717,Black Rain,en,533,6.5
2718,The Nut Job,en,613,5.7
2719,Memoirs of Vegetation,en,0,0
2720,Lying and Stealing,en,100,5.9
2721,Mr. Nobody,en,3878,7.9
2722,Are You Here,en,176,5.2
2723,The Magic of Chess,en,0,0
2724,Deadwood: The Movie,en,154,6.7
2725,Get Carter,en,314,5
2726,Carbone,fr,214,6.9
2727,Joyeux Noel,fr,514,7.4
2728,3 Days to Kill,en,1431,6
2729,Species II,en,325,4.8
2730,The Upside,en,555,7.1
2731,The Crucifixion,en,249,5.4
2732,Empire Records,en,378,6.7
2733,Never Been Kissed,en,889,6
2734,Sex, Party and Lies,es,79,4
2735,Alpha Dog,en,840,6.6
2736,Sleepers,en,1676,7.5
2737,The Three Musketeers,en,1802,5.8
2738,Strange Days,en,694,7
2739,Tarzan & Jane,en,352,5.8
2740,My Big Fat Greek Wedding,en,1309,6.4
2741,Step Up 2: The Streets,en,1558,6.6
2742,The Perfection,en,652,6.5
2743,The Big Sick,en,1506,7.4
2744,Cyborg,en,309,5.2
2745,Godzilla,ja,394,7.3
2746,August: Osage County,en,953,6.9
2747,Mr. Popper's Penguins,en,1838,5.8
2748,Imagine Me & You,en,480,7.3
2749,Khilona Bana Khalnayak,en,2,6
2750,Teen Titans Go! To the Movies,en,496,7.2
2751,House of Flying Daggers,zh,865,7.3
2752,Quills,en,293,7
2753,Carol,en,2320,7.4
2754,The King's Speech,en,5809,7.7
2755,RoboCop 2,en,957,5.8
2756,A Lot Like Love,en,782,6.7
2757,Rings,en,1911,4.9
2758,Hook,en,3426,6.9
2759,Jackass: The Movie,en,786,6.1
2760,The Boondock Saints II: All Saints Day,en,447,6
2761,Fallen,en,712,6.8
2762,Tremors,en,1829,6.7
2763,Scott Pilgrim vs. the World,en,4531,7.4
2764,Fatal Attraction,en,726,6.8
2765,Neseyka: The Youngest Daughter,ru,0,0
2766,New Nightmare,en,713,6.4
2767,The Spy Next Door,en,769,5.7
2768,Dark Places,en,840,5.9
2769,Defiance,en,1087,6.8
2770,Goya's Ghosts,en,263,6.7
2771,Caf? Society,en,1786,6.4
2772,Boy Erased,en,725,7.1
2773,Time Bandits,en,500,6.7
2774,The Saint,en,618,6
2775,Scent of a Woman,en,1647,7.7
2776,If Beale Street Could Talk,en,625,7.1
2777,Cradle 2 the Grave,en,459,5.9
2778,Moms' Night Out,en,196,5.7
2779,The Ritual,en,1386,6
2780,FernGully: The Last Rainforest,en,348,6.4
2781,Honey I Blew Up the Kid,en,675,5.1
2782,The Graduate,en,1825,7.7
2783,Philadelphia,en,2440,7.7
2784,Meet Dave,en,867,5.2
2785,Newness,en,322,5.9
2786,Mud,en,1772,7
2787,The Sisters Brothers,en,1012,6.9
2788,?Three Amigos!,en,515,6.3
2789,The Phantom of the Opera,en,934,7.2
2790,Miracle on 34th Street,en,357,7.4
2791,Snow Dogs,en,426,5.5
2792,Assassins,en,797,6.2
2793,Good Sister-In-Law - Forbidden Love,ko,3,7.7
2794,In Hell,en,192,5.9
2795,The Wall,en,472,6
2796,Spartacus,en,1135,7.6
2797,Last Action Hero,en,1478,6.3
2798,Minions,en,7894,6.4
2799,My Sassy Girl,en,198,6.3
2800,The Whole Ten Yards,en,541,5.6
2801,Cutthroat Island,en,277,5.8
2802,Air Force One,en,1627,6.4
2803,The Happening,en,1982,5.1
2804,Le Samoura?,fr,449,7.9
2805,Doom: Annihilation,en,132,4.3
2806,Horrible Bosses,en,4303,6.5
2807,The Mummy,en,263,6.9
2808,The New Mutants,en,0,0
2809,Passenger 57,en,509,5.8
2810,The Hills Have Eyes 2,en,731,5.2
2811,Getaway,en,427,5.1
2812,Pinocchio,it,321,7.1
2813,The 'Burbs,en,643,6.8
2814,The Courier,en,75,5.6
2815,Whatever Works,en,1028,7.1
2816,Midnight Cowboy,en,653,7.6
2817,Brooklyn's Finest,en,516,6.4
2818,After.Life,en,487,5.7
2819,Young Guns,en,500,6.7
2820,The Edge of Seventeen,en,2641,7.2
2821,Megan Leavey,en,436,7.2
2822,Morning Glory,en,881,6.3
2823,Domino,en,787,6
2824,The Bear,en,232,7
2825,One Thousand Stories: The Making of a Mural,en,0,0
2826,Repo Men,en,1137,6.3
2827,Aliens in the Attic,en,620,5.5
2828,Loving Pablo,es,619,6.2
2829,Father Figures,en,360,5.8
2830,Hugo,en,4773,7.1
2831,Normal,en,7,5.3
2832,Kronk's New Groove,en,666,6.2
2833,In the Heat of the Night,en,480,7.8
2834,Detachment,en,692,7.5
2835,The Great Hack,en,214,6.9
2836,Nights of Cabiria,it,317,8.1
2837,G.I. Jane,en,908,6.3
2838,Step Brothers,en,1980,6.5
2839,The Darkest Hour,en,829,5
2840,Dick Tracy,en,496,6.1
2841,Above the Law,en,306,6
2842,Tinker Bell and the Lost Treasure,en,574,6.6
2843,The Dukes of Hazzard,en,646,5.3
2844,The Book Thief,en,3118,7.5
2845,Shame,en,1879,7
2846,Sympathy for Lady Vengeance,ko,820,7.5
2847,The Ghost and the Darkness,en,473,6.6
2848,The Grapes of Wrath,en,468,7.9
2849,The Choice,en,1200,7
2850,Scouts Guide to the Zombie Apocalypse,en,1034,6.2
2851,Doom,en,1245,5
2852,Vampires Suck,en,775,4.1
2853,Paris, Texas,en,719,8.1
2854,Waves,en,96,7.7
2855,Batman: The Killing Joke,en,1036,6.4
2856,National Lampoon's Van Wilder,en,1228,5.9
2857,Red Cliff,zh,417,7.2
2858,The Spiderwick Chronicles,en,1587,6.5
2859,Paterson,en,924,7.1
2860,The Brave One,en,512,6.5
2861,The Woman in Black 2: Angel of Death,en,701,5.1
2862,Kidnapping Mr. Heineken,en,361,5.9
2863,Derailed,en,577,6.2
2864,The Karate Kid Part II,en,1041,6.1
2865,Fantastic Beasts 3,en,0,0
2866,Ride Along,en,1455,6.2
2867,The Spectacular Now,en,2054,6.6
2868,Enter the Void,en,963,7.4
2869,Rocky Balboa,en,2017,6.7
2870,Snake Eyes,en,689,6
2871,A Time to Kill,en,1102,7.2
2872,The Voyeur,it,84,4.4
2873,Blast from the Past,en,498,6.4
2874,Hard Candy,en,1598,6.8
2875,Fahrenheit 451,en,474,7.2
2876,The Flintstones,en,1476,5.2
2877,He's Just Not That Into You,en,2334,6.4
2878,A Bridge Too Far,en,388,7.2
2879,Straw Dogs,en,467,7.2
2880,30 Minutes or Less,en,1016,5.7
2881,Evolution,en,1296,5.9
2882,The Killer,cn,369,7.8
2883,Bill & Ted's Bogus Journey,en,574,6.2
2884,See No Evil, Hear No Evil,en,516,6.7
2885,The Omen,en,608,5.5
2886,Sinbad and the Eye of the Tiger,en,81,6.5
2887,Blood Work,en,430,6.2
2888,Hannah Montana: The Movie,en,1276,6.4
2889,Survival Island,en,90,4.4
2890,'83,hi,0,0
2891,The Visitors,fr,1151,7.1
2892,Office Space,en,1746,7.4
2893,Tristan & Isolde,en,501,6.6
2894,Honeyland,mk,89,8.1
2895,No Escape,en,1497,6.8
2896,Red,te,0,0
2897,Table 19,en,676,6
2898,James and the Giant Peach,en,777,6.4
2899,When a Stranger Calls,en,623,5.6
2900,Mother,ko,502,7.8
2901,Chicken Little,en,2401,5.8
2902,Spy Kids: All the Time in the World,en,588,4.7
2903,Atlantis: Milo's Return,en,463,5.6
2904,The Skeleton Key,en,1202,6.5
2905,Anacondas: The Hunt for the Blood Orchid,en,497,5.2
2906,Princess Principal Crown Handler: Chapter 1,ja,0,0
2907,Rising Sun,en,400,6.1
2908,Harakiri,ja,324,8.3
2909,The Bride of Frankenstein,en,433,7.5
2910,Crossroads,en,348,5
2911,Asterix the Gaul,fr,381,6.4
2912,Paranoia,en,569,5.7
2913,George of the Jungle,en,1198,5.4
2914,Soul Surfer,en,783,7
2915,All Dogs Go to Heaven,en,595,6.7
2916,Wild Things,en,896,6.3
2917,Seven Stages to Achieve Eternal Bliss,en,2,7
2918,Hot Tub Time Machine 2,en,585,5.1
2919,Cocoon,en,684,6.5
2920,Little Children,en,481,7.2
2921,Possession,fr,383,7.4
2922,The Many Adventures of Winnie the Pooh,en,498,7.2
2923,Accident Man,en,206,5.5
2924,Drive Angry,en,1109,5.4
2925,Daddy Day Care,en,1347,5.8
2926,All Quiet on the Western Front,en,354,7.8
2927,The Money Pit,en,593,6.4
2928,The Nutty Professor,en,1834,5.6
2929,Rough Night,en,1318,5.6
2930,Pi,en,1271,7.1
2931,J. Edgar,en,1520,6.2
2932,Mirrors,en,1047,6.1
2933,Little Nicky,en,892,5.3
2934,The Change-Up,en,1680,6
2935,Book of Shadows: Blair Witch 2,en,429,4.3
2936,Undisputed,en,314,6.4
2937,The Orphanage,es,1534,7.2
2938,A Nightmare on Elm Street,en,1670,5.5
2939,Papillon,en,988,8
2940,Bridesmaids,en,3120,6.5
2941,Dragon Ball Z: Dead Zone,ja,281,6.4
2942,Monster-in-Law,en,999,6
2943,The Hurricane Heist,en,592,5.5
2944,Knight and Day,en,2823,6.1
2945,Twister,en,1829,6.3
2946,You've Got Mail,en,1945,6.6
2947,Mr. Smith Goes to Washington,en,528,8
2948,Terminal,en,421,5.6
2949,Secret in Their Eyes,en,823,6.4
2950,K-PAX,en,1361,7.2
2951,Untitled Universal Event Film (Nov 2020),en,0,0
2952,Senna,en,519,8.3
2953,Andrei Rublev,ru,345,8.3
2954,Kick-Ass 2,en,4256,6.4
2955,Winchester,en,1055,5.8
2956,Ultraman Taiga The Movie: New Generation Climax,ja,0,0
2957,Date Night,en,1934,6
2958,Who Would You Take to a Deserted Island?,es,253,4.9
2959,Agora,en,861,6.9
2960,The Guns of Navarone,en,373,7.5
2961,Jarhead,en,1565,6.5
2962,Daughter of the Wolf,en,50,4.6
2963,Aftermath,en,444,5.5
2964,A Bone to Pick: An Aurora Teagarden Mystery,en,34,7.2
2965,Love Happens,en,405,5.9
2966,40 Days and 40 Nights,en,657,5.3
2967,The Dead Zone,en,730,7.1
2968,The City of Lost Children,fr,570,7.5
2969,The Wages of Fear,fr,397,8.1
2970,The Wedding Singer,en,1006,6.6
2971,The Tale of the Princess Kaguya,ja,813,8.1
2972,Liar Liar,en,3347,6.6
2973,License to Wed,en,581,5.6
2974,Collide,en,380,5.6
2975,Diary of a Nymphomaniac,es,154,5.7
2976,Gridiron Gang,en,465,6.7
2977,For Sama,en,88,8.6
2978,The Immortal,it,153,7.2
2979,Point of No Return,en,242,6
2980,Why Him?,en,2816,6.2
2981,Roman Holiday,en,1087,7.9
2982,Perfect Nanny,fr,47,6.3
2983,2036 Origin Unknown,en,105,4.8
2984,X-Rated: The Greatest Adult Movies of All Time,en,83,5.8
2985,Maverick,en,880,6.8
2986,The Zero Theorem,en,733,6.1
2987,Date Movie,en,522,3.8
2988,The Cave,en,465,5.2
2989,The Bible: In the Beginning...,en,90,6.9
2990,Cargo,en,933,6.3
2991,Beowulf,en,1718,5.7
2992,Grown Ups,en,3641,6.2
2993,Twin Peaks: Fire Walk with Me,en,1008,7.3
2994,Planet Terror,en,2102,6.6
2995,Wish Upon,en,833,5.5
2996,The Birds,en,2267,7.5
2997,Downfall,de,2084,7.8
2998,Margin Call,en,961,6.8
2999,Duck, You Sucker,it,508,7.8
3000,Love Finds You in Valentine,en,34,5.7
3001,To the Bone,en,2539,7.3
3002,Bastille Day,en,770,6.2
3003,Reprisal,en,120,5
3004,Che: Part One,en,418,6.9
3005,The Grinch,en,1577,6.5
3006,Unfinished Business,en,544,5.2
3007,Assault on Wall Street,en,304,5.8
3008,The Golden Child,en,609,5.8
3009,RV,en,1038,5.8
3010,Stitch! The Movie,en,384,6.4
3011,The Punisher,en,269,5.7
3012,Rumor Has It...,en,689,5.6
3013,A Ghost Story,en,1176,7
3014,Oh, Ramona!,en,206,5.7
3015,The Lazarus Effect,en,926,5.2
3016,Angus, Thongs and Perfect Snogging,en,562,6.5
3017,Halloween III: Season of the Witch,en,611,5
3018,Don't Look Now,en,429,7
3019,Dead Man Down,en,940,6
3020,Stealth,en,579,5.2
3021,The Fifth Estate,en,618,6
3022,Amityville: The Awakening,en,676,5.4
3023,Paul Blart: Mall Cop,en,1568,5.3
3024,Christmas Inheritance,en,568,6.5
3025,Hackers,en,713,6.2
3026,Halloween: The Curse of Michael Myers,en,500,5
3027,1492: Conquest of Paradise,en,419,6.2
3028,New Year's Eve,en,1495,5.8
3029,Changeling,en,2429,7.5
3030,Final Destination 5,en,1989,6
3031,Ladder 49,en,432,6.3
3032,Presumed Innocent,en,325,6.8
3033,Final Destination 3,en,2245,6
3034,Miracles from Heaven,en,601,7.2
3035,Sweetheart,en,62,6.2
3036,Heaven is for Real,en,431,6.4
3037,Tower Heist,en,1862,6
3038,14 and Under,de,15,6.4
3039,Tall Girl,en,889,6.2
3040,How to Marry a Millionaire,en,265,6.9
3041,Antz,en,3006,6.1
3042,A Few Good Men,en,1864,7.4
3043,Going the Distance,en,460,6
3044,Breathe,en,394,7.5
3045,Running Scared,en,592,7
3046,Frankie and Johnny,en,284,6.6
3047,WarGames,en,987,7.1
3048,Babe,en,1820,6.1
3049,Baahubali 2: The Conclusion,te,289,7
3050,Dying of the Light,en,197,4.7
3051,Barbie as Rapunzel,en,644,6.8
3052,The Rocketeer,en,474,6.4
3053,The Game,en,3393,7.6
3054,Stargate,en,1895,6.9
3055,The Siege of Jadotville,en,447,7.2
3056,Kill the Messenger,en,560,6.6
3057,Max Payne,en,1213,5.2
3058,Street Flow,fr,184,7.2
3059,Open Season,en,1672,6.1
3060,Un Chien Andalou,fr,677,7.5
3061,Children of the Corn,en,502,5.7
3062,Kangaroo Jack,en,454,4.6
3063,Emma,en,364,6.9
3064,Whiteout,en,410,5.4
3065,Game of Death,cn,318,6.3
3066,High Noon,en,751,7.7
3067,Destination Wedding,en,331,5.6
3068,So I Married an Axe Murderer,en,207,6.2
3069,The Night Clerk,en,27,5.8
3070,Happy Feet Two,en,889,6
3071,The Beguiled,en,1387,5.7
3072,Armour of God,cn,226,6.8
3073,The Monuments Men,en,2464,6
3074,Mr. Right,en,870,6.4
3075,The Hunted,en,377,6.1
3076,Krampus,en,1214,6
3077,Elle,fr,1153,6.7
3078,Mister Happiness,it,256,6.2
3079,Before I Fall,en,2489,7
3080,StreetDance 2,en,248,5.9
3081,Balto II: Wolf Quest,en,332,6.1
3082,Ip Man,cn,2184,7.7
3083,45 Years,en,481,6.6
3084,Coriolanus,en,249,5.9
3085,The French Connection,en,899,7.6
3086,Hotel Artemis,en,777,6
3087,The X Files: I Want to Believe,en,894,5.6
3088,Evil Dead,en,2999,6.4
3089,The Football Factory,en,137,6.4
3090,The Triplets of Belleville,fr,524,7.4
3091,Anna and the King,en,430,6.7
3092,Summertime,fr,189,6.6
3093,Christmas with the Kranks,en,536,5.7
3094,A Christmas Prince: The Royal Baby,en,257,6.3
3095,A Little Bit of Heaven,en,381,6.3
3096,Rock Dog,en,152,5.9
3097,Daybreakers,en,1139,6.2
3098,Contact,en,2520,7.3
3099,Ken Park,en,292,5.9
3100,Burnt,en,2102,6.4
3101,Concrete,ja,6,5.7
3102,Trouble with the Curve,en,711,6.7
3103,Summer Wars,ja,522,7.5
3104,Air America,en,303,5.6
3105,After We Collided,en,0,0
3106,Arthur 3: The War of the Two Worlds,en,1013,5.6
3107,The Haunting in Connecticut,en,647,6.1
3108,A Very Harold & Kumar Christmas,en,568,6
3109,Silver Bullet,en,247,6.3
3110,After Hours,en,626,7.5
3111,Where the Heart Is,en,404,7
3112,Hard to Kill,en,303,5.8
3113,Blue Jasmine,en,2351,7
3114,Open Season 2,en,744,5.7
3115,Black Cat, White Cat,sr,361,7.8
3116,Mindhunters,en,657,6.4
3117,2010,en,510,6.7
3118,The Virgin Suicides,en,1829,7.1
3119,The Do-Over,en,946,5.7
3120,Saturday Night Fever,en,988,6.7
3121,Along Came a Spider,en,932,6.3
3122,Escape from L.A.,en,778,5.9
3123,Careful What You Wish For,en,253,6
3124,Starship Troopers 3: Marauder,en,247,4.4
3125,Wrath of the Titans,en,2763,5.6
3126,View from the Top,en,307,5.2
3127,Veronica,es,991,6.1
